created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Sep 18 04:51:56 +0000 2023;1703632929048736113;"Kenapa sosis indomaret yg keju lagi pada kosong yahh udah seminggu ini di Indomaret deket rumah ku kosong terus:(";0;0;0;0;in;1389234809302446094;1703632929048736113;AFirastari;https://twitter.com/AFirastari/status/1703632929048736113
Mon Sep 18 02:17:49 +0000 2023;1703594140704104459;"sekarang gua ngerti kenapa sosis keju indomaret selalu abis, ENAK BAT ANJRT";0;2;0;0;in;1498958269091823617;1703594140704104459;yelw323;https://twitter.com/yelw323/status/1703594140704104459
Sun Sep 17 17:30:54 +0000 2023;1703461541058871645;"aku msh blm berhasil beli sosis keju indomaret, ayooo @megamilrm";0;2;0;0;in;1728581880;1703461541058871645;Jpdcw2;https://twitter.com/Jpdcw2/status/1703461541058871645
Sun Sep 17 17:25:57 +0000 2023;1703460294083875161;"@clouddesire sosis keju indomaret";0;1;0;0;in;973121618045165568;1703449469382262895;spicyb1tch;https://twitter.com/spicyb1tch/status/1703460294083875161
Sun Sep 17 16:04:54 +0000 2023;1703439898219622893;"sosis keju di indomaret selangka itukah? ga di sby ga di mjg tanya kesana kesini stock kosong";0;0;0;0;in;1530857271936266241;1703439898219622893;mersmelau;https://twitter.com/mersmelau/status/1703439898219622893
Sun Sep 17 14:24:10 +0000 2023;1703414546126508215;"mau sosis keju indomaret";0;1;0;0;in;1604014024995135488;1703414546126508215;lucayulicius;https://twitter.com/lucayulicius/status/1703414546126508215
Sun Sep 17 11:49:30 +0000 2023;1703375623828443443;"Sosis keju Indomaret (";0;0;0;0;in;2757292625;1703375623828443443;ranisynii;https://twitter.com/ranisynii/status/1703375623828443443
Sun Sep 17 11:26:20 +0000 2023;1703369791938212082;"fameeennn mau sosis keju indomaret, anyone sp mau ke inpoint brg w cung";0;3;0;0;in;1384010417769385986;1703369791938212082;exhalapie;https://twitter.com/exhalapie/status/1703369791938212082
Sun Sep 17 11:17:56 +0000 2023;1703367679737016580;"-dips! yg ada sosis indomaret rasa keju tu dimana sih? kok aku nemunya yg ori terus yaa";0;0;0;0;in;1177052356925513728;1703367679737016580;undipmenfess;https://twitter.com/undipmenfess/status/1703367679737016580
Sun Sep 17 09:21:58 +0000 2023;1703338497325834536;"bm sosis keju indomaret di tembalang dmn ya";0;0;0;0;in;1545438424202498048;1703338497325834536;van11laa;https://twitter.com/van11laa/status/1703338497325834536
Sun Sep 17 03:29:02 +0000 2023;1703249678807216585;"Wml smoga sosis keju indomaret ga kosong";0;0;0;4;in;1456660731600900098;1703249678807216585;nachrmingly;https://twitter.com/nachrmingly/status/1703249678807216585
Sun Sep 17 02:10:58 +0000 2023;1703230031638765945;"anjir sosis indomaret keju bener2 enak bgt mampus ga lebay gua sumpah";0;0;0;0;in;1701882965754798081;1703230031638765945;___wormy;https://twitter.com/___wormy/status/1703230031638765945
Sat Sep 16 14:29:12 +0000 2023;1703053425104330858;"Sebel bgt gua semenjak sosis Indomaret viral gua jadi ga kebagian Mulu yg keju";0;0;0;0;in;1547715255467671553;1703053425104330858;JJLuv_Ra;https://twitter.com/JJLuv_Ra/status/1703053425104330858
Sat Sep 16 13:01:01 +0000 2023;1703031232173600852;"kok sosis keju indomart udh susah dicari sih, banyakin lg dong stocknya @Indomaret";0;1;0;0;in;1342761458883387392;1703031232173600852;jenoaah;https://twitter.com/jenoaah/status/1703031232173600852
Sat Sep 16 11:52:36 +0000 2023;1703014017156231654;"ada yang tau beli sosis keju indomaret yg avail dimana? tadi di imdomaret bunderan adanya ori -dips!";0;0;0;1;in;1177052356925513728;1703014017156231654;undipmenfess;https://twitter.com/undipmenfess/status/1703014017156231654
Sat Sep 16 11:32:11 +0000 2023;1703008878592659644;"@Luitugakdiajak @sbyfess sosis indomaret. plis @Indomaret jadiin gua BA sosis keju lu, tiap hari gua beli mulu.tq";0;0;0;0;in;1554862843002257409;1702924946253758465;Berrypop____;https://twitter.com/Berrypop____/status/1703008878592659644
Sat Sep 16 11:08:13 +0000 2023;1703002847850463361;"@Rapun_zellllll @tololmeroket sosis indomaret yg keju aja amis menurut aku. apalagi wiskas 🥹";0;1;0;0;in;990794617;1702914872080757072;orellitaa;https://twitter.com/orellitaa/status/1703002847850463361
Sat Sep 16 07:59:39 +0000 2023;1702955392819732653;"@UGM_FESS iya jir indomaret fresh pandega dkt ringroad ada kang parkirrrrrr sebeeeel pdhl nyari sosis keju, untung waktu itu kosong jadinya gabeli apa2 yauda ga bayar parkir aku karna bilang ga bli apa2";0;0;0;1;in;1132202945661943808;1702954843181310251;19191919yo;https://twitter.com/19191919yo/status/1702955392819732653
